OID_,Id,Join_Cou_1,Join_Cou_2,Join_Cou_3,Join_Cou_4,Join_Cou_5,Join_Cou_6,Join_Cou_7,Join_Cou_8,Join_Cou_9,Join_Co_10,Join_Co_11,Join_Co_12,Join_Co_13,Join_Co_14,Join_Co_15,distance,POI_Number,POI_Mixture
177,0,0,0,4,0,0,0,0,5,5,0,0,0,0,0,0,68971,14,0.8018185525433372
178,0,0,5,6,0,0,0,0,14,10,5,0,0,0,0,5,61824,40,1.3592367006650063
179,0,0,5,32,0,0,0,1,6,9,56,0,0,4,0,5,54683,109,1.7480673485460891
180,0,0,11,69,0,0,0,1,29,6,114,0,0,7,0,2,47550,230,1.7480673485460891
181,0,4,8,158,0,0,0,2,18,5,405,0,0,8,0,6,40430,600,1.9730014063936128
182,0,0,11,119,0,1,0,3,5,13,423,0,0,4,0,9,33330,575,1.9730014063936128
183,0,54,362,3306,19,23,10,25,813,79,3140,0,4,110,0,86,26267,7831,2.3025850929940455
184,0,314,681,4886,31,9,7,24,712,57,5260,0,6,209,0,99,19281,11981,2.3025850929940455
185,0,36,474,2936,43,196,5,26,516,43,2757,1,6,242,0,113,12504,7032,2.163955656882057
186,0,268,2040,9123,280,43,17,61,1489,108,11294,0,30,494,0,319,6610,24723,2.3025850929940455
187,0,360,1510,8318,206,34,25,64,2553,253,12029,1,28,389,0,302,5813,25352,2.3025850929940455
188,0,66,303,2007,54,42,3,20,392,41,2443,0,13,202,0,91,11254,5371,2.3025850929940455
189,0,14,43,427,0,14,2,1,21,7,914,0,0,63,0,15,17952,1443,2.163955656882057
190,0,0,15,107,1,2,0,1,13,9,214,0,0,49,0,23,24913,362,2.0253262207700677
191,0,0,2,36,0,0,0,1,6,18,26,0,0,30,0,13,31966,89,1.7480673485460891
192,0,0,1,8,0,0,0,0,0,8,20,0,0,42,0,3,39061,37,1.0888999753452235
193,0,0,74,576,2,14,1,7,61,16,1227,0,0,57,1,20,46178,1978,2.3025850929940455
194,0,0,34,148,1,7,0,4,6,7,343,1,0,13,0,10,53309,550,2.0253262207700677
195,0,0,14,31,0,0,0,0,0,4,177,0,0,1,0,1,60448,226,1.2275294114572126
196,0,0,4,21,0,0,0,0,1,3,101,0,0,0,0,5,67594,130,1.4978661367769952
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74744,0,-0.0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76929,0,-0.0
199,0,0,2,2,0,0,0,0,2,1,0,0,0,0,0,0,69862,7,0.8979457248567797
200,0,0,6,24,1,0,0,0,9,12,23,0,0,0,0,1,62816,75,1.7480673485460891
201,0,0,17,204,1,0,0,2,27,20,621,0,0,3,0,4,55802,892,1.9730014063936128
202,0,0,15,211,0,0,0,3,31,20,444,0,0,14,0,4,48833,724,1.7480673485460891
203,0,2,20,274,0,0,0,3,55,16,771,0,0,29,0,8,41931,1141,1.9730014063936128
204,0,0,16,92,0,0,0,3,6,12,282,0,0,24,0,12,35136,411,1.7480673485460891
205,0,0,40,458,0,1,1,2,29,19,814,0,1,46,0,21,28524,1364,2.0253262207700677
206,0,40,237,1397,40,52,4,14,86,27,1633,0,2,150,0,62,22258,3530,2.163955656882057
207,0,284,552,5666,22,137,12,20,1504,37,5761,3,6,235,0,100,16734,13995,2.3025850929940455
208,0,42,237,3508,8,19,9,17,303,32,7189,2,3,169,0,69,12937,11364,2.3025850929940455
209,0,20,301,3127,29,18,5,43,341,63,6143,0,19,218,0,87,12548,10090,2.3025850929940455
210,0,26,197,1914,10,10,3,23,292,57,2895,1,2,129,0,79,15822,5427,2.163955656882057
211,0,6,35,326,2,2,0,4,19,9,649,0,0,53,0,13,21118,1052,2.163955656882057
212,0,0,11,190,0,1,0,2,5,4,392,0,0,38,0,9,27283,605,1.9730014063936128
213,0,0,16,270,1,3,0,1,11,7,540,0,0,59,0,6,33845,849,2.0253262207700677
214,0,0,5,19,0,0,0,1,1,10,35,0,0,10,0,2,40613,71,1.6094379124341
215,0,0,1,14,0,0,0,0,2,8,21,0,0,6,0,3,47498,46,1.4978661367769952
216,0,0,14,38,1,1,0,0,4,7,216,0,0,10,0,4,54456,281,1.8343719702816235
217,0,0,8,44,0,0,0,1,4,8,80,0,0,3,0,5,61463,145,1.6094379124341
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68503,0,-0.0
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75567,0,-0.0
220,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,78387,3,0.639031859650177
221,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,71464,13,0.3250829733914482
222,0,0,8,10,1,0,0,1,8,6,10,0,0,1,0,1,64593,44,1.5571130980576458
223,0,0,27,40,0,0,0,1,47,17,21,0,0,6,0,0,57796,153,1.7480673485460891
224,0,14,87,506,1,3,1,7,741,56,694,0,0,32,0,23,51099,2110,2.163955656882057
225,0,0,18,203,0,0,0,1,35,9,574,0,0,62,0,2,44550,840,1.7480673485460891
226,0,0,34,150,0,2,0,4,11,16,454,0,0,44,0,9,38223,671,1.9730014063936128
227,0,16,35,274,1,3,1,8,22,35,428,0,0,71,0,11,32249,823,2.0253262207700677
228,0,42,382,2000,23,4,5,4,239,28,3184,2,2,103,0,66,26867,5911,2.163955656882057
229,0,32,129,1174,7,26,3,12,232,32,1992,1,0,87,0,54,22504,3639,2.163955656882057
230,0,48,117,1273,2,10,2,11,144,19,3742,0,0,102,0,41,19844,5368,2.163955656882057
231,0,6,101,1029,12,5,2,14,101,29,2593,0,8,119,0,37,19593,3892,2.163955656882057
232,0,130,712,4303,36,16,15,18,646,86,6124,0,5,237,0,113,21835,12086,2.3025850929940455
233,0,0,89,505,5,53,0,1,40,10,2385,0,0,80,0,31,25930,3088,2.163955656882057
234,0,0,71,470,8,19,0,4,28,21,2092,0,0,75,0,36,31157,2713,2.163955656882057
235,0,52,242,1561,12,24,4,12,121,25,2234,0,0,106,0,64,37039,4287,2.163955656882057
236,0,104,213,1138,6,2,5,11,277,26,1513,1,0,49,0,37,43311,3295,2.3025850929940455
237,0,0,4,112,0,1,0,1,7,5,307,0,0,2,0,2,49825,437,1.8343719702816235
238,0,4,8,46,1,1,0,0,7,5,329,0,0,14,0,1,56497,401,2.0253262207700677
239,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,63278,4,0.3250829733914482
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70136,0,-0.0
241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77050,0,-0.0
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80460,0,-0.0
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73731,0,-0.0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67093,0,-0.0
245,0,0,16,82,0,0,0,0,350,6,15,0,0,0,0,7,60577,469,1.4978661367769952
246,0,0,138,531,1,1,1,2,1143,96,394,0,0,25,0,35,54225,2307,1.9730014063936128
247,0,12,48,280,1,1,1,2,293,11,567,1,0,61,0,8,48102,1216,1.9730014063936128
248,0,14,22,217,0,2,0,3,20,14,511,0,0,54,0,3,42310,803,2.0253262207700677
249,0,32,69,640,2,3,2,8,47,33,1141,1,0,85,0,21,37003,1977,2.163955656882057
250,0,0,35,216,2,1,2,4,10,13,478,1,0,49,0,12,32420,761,2.163955656882057
251,0,0,82,560,1,2,1,8,42,24,1173,0,0,50,0,27,28907,1893,2.163955656882057
252,0,0,118,1020,1,5,2,7,46,12,2020,0,0,125,0,24,26888,3231,2.3025850929940455
253,0,0,18,179,0,0,0,2,1,10,448,0,0,77,0,10,26703,658,1.7480673485460891
254,0,0,41,330,1,4,0,4,3,13,903,0,0,56,0,17,28389,1299,2.0253262207700677
255,0,26,383,2333,19,19,8,14,141,18,3376,1,0,127,0,67,31647,6337,2.163955656882057
256,0,16,44,180,1,5,1,6,8,16,278,0,0,41,0,22,36055,555,2.0253262207700677
257,0,0,40,241,3,0,0,1,18,10,572,0,0,24,0,14,41244,885,1.9730014063936128
258,0,0,0,16,0,0,0,1,4,7,35,0,0,12,0,0,46957,63,1.4978661367769952
259,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,53025,2,0.5004024235381879
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59339,0,-0.0
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65828,0,-0.0
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72445,0,-0.0
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79158,0,-0.0
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83100,0,-0.0
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76604,0,-0.0
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70239,0,-0.0
267,0,0,3,4,0,0,0,0,87,2,1,0,0,0,0,1,64043,97,1.4978661367769952
268,0,0,38,91,0,0,0,3,147,21,89,0,0,17,0,4,58071,389,1.7480673485460891
269,0,198,524,2717,31,1,7,18,743,43,4315,2,0,236,0,77,52400,8597,2.3025850929940455
270,0,0,38,267,1,1,1,1,30,11,589,1,0,52,0,5,47139,939,1.7480673485460891
271,0,0,19,178,0,0,0,1,35,22,409,0,0,51,0,12,42440,664,1.7480673485460891
272,0,0,24,228,0,7,0,2,8,9,415,0,0,40,0,6,38509,693,1.9730014063936128
273,0,72,462,2897,16,52,5,19,200,42,4328,3,0,165,0,112,35603,8093,2.3025850929940455
274,0,0,16,282,0,4,0,1,22,9,588,0,0,40,0,11,33984,922,1.9730014063936128
275,0,8,116,597,4,77,1,0,88,12,1372,0,0,46,0,20,33838,2275,2.3025850929940455
276,0,4,13,11,0,0,0,0,0,2,45,0,1,9,0,1,35184,75,1.4978661367769952
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37862,0,-0.0
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41616,0,-0.0
279,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,46185,6,0.639031859650177
280,0,0,0,2,0,0,0,1,1,3,2,0,0,0,0,13,51351,9,1.2206072645530173
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56953,0,-0.0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62873,0,-0.0
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69031,0,-0.0
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75367,0,-0.0
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81841,0,-0.0
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86258,0,-0.0
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80018,0,-0.0
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73947,0,-0.0
289,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,68089,5,0.639031859650177
290,0,0,5,35,0,0,0,0,12,3,13,0,0,15,0,7,62506,68,1.4978661367769952
291,0,62,431,2039,15,14,2,16,736,169,2281,1,0,146,0,90,57276,5765,2.3025850929940455
292,0,8,32,381,0,3,0,2,36,9,782,0,0,26,0,17,52505,1253,2.163955656882057
293,0,0,18,98,0,0,1,2,13,10,248,0,0,21,0,8,48331,390,1.9730014063936128
294,0,0,19,200,0,0,0,1,9,12,508,0,0,45,0,6,44919,749,1.7480673485460891
295,0,18,58,393,2,3,1,5,20,10,566,0,0,60,0,11,42453,1076,2.3025850929940455
296,0,0,10,215,1,1,0,1,11,9,442,0,0,22,0,12,41105,690,1.8343719702816235
297,0,0,11,65,0,1,0,0,3,2,253,0,0,21,0,7,40984,335,1.7480673485460891
298,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,42102,7,0.639031859650177
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44365,0,-0.0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47609,0,-0.0
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51650,0,-0.0
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56317,0,-0.0
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61468,0,-0.0
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66991,0,-0.0
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72801,0,-0.0
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78835,0,-0.0
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85045,0,-0.0
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89877,0,-0.0
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83907,0,-0.0
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78138,0,-0.0
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72620,0,-0.0
312,0,0,5,3,0,0,0,0,19,0,3,0,0,0,0,0,67412,30,1.0888999753452235
313,0,0,8,33,0,0,0,0,73,13,24,0,0,0,0,6,62594,151,1.4978661367769952
314,0,0,9,19,1,0,0,1,6,7,32,0,0,0,0,5,58260,75,1.8343719702816235
315,0,0,7,66,0,0,0,3,22,13,74,0,0,3,0,9,54528,185,1.7480673485460891
316,0,0,16,202,1,0,0,1,29,20,207,0,0,19,0,24,51528,476,1.8343719702816235
317,0,0,33,54,1,0,0,0,2,4,86,0,0,34,0,5,49394,180,1.7480673485460891
318,0,0,18,158,1,0,0,0,7,9,381,0,0,15,0,7,48240,574,1.7480673485460891
319,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48137,1,0.3250829733914482
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49092,0,-0.0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51046,0,-0.0
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53889,0,-0.0
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57491,0,-0.0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61718,0,-0.0
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66451,0,-0.0
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71591,0,-0.0
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77055,0,-0.0
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82779,0,-0.0
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88713,0,-0.0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93905,0,-0.0
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88208,0,-0.0
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82740,0,-0.0
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77549,0,-0.0
334,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,72696,4,0.639031859650177
335,0,0,2,3,0,0,0,0,19,3,0,0,0,0,0,0,68251,27,1.0888999753452235
336,0,0,3,5,0,0,0,0,15,5,1,0,0,0,0,5,64300,29,1.3592367006650063
337,0,0,11,49,0,0,0,1,30,11,18,0,0,6,0,5,60939,120,1.6094379124341
338,0,0,17,209,0,0,0,1,59,11,337,0,0,4,0,12,58270,634,1.7480673485460891
339,0,0,11,60,0,0,0,0,14,18,57,0,0,12,0,9,56391,160,1.4978661367769952
340,0,0,12,39,0,0,0,0,2,2,69,0,0,3,0,3,55383,124,1.3592367006650063
341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55294,0,-0.0
342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56127,0,-0.0
343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57844,0,-0.0
344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60368,0,-0.0
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63604,0,-0.0
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67449,0,-0.0
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71805,0,-0.0
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76586,0,-0.0
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81717,0,-0.0
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87135,0,-0.0
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92792,0,-0.0
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98291,0,-0.0
353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92863,0,-0.0
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87686,0,-0.0
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82806,0,-0.0
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78279,0,-0.0
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74170,0,-0.0
358,0,0,4,7,0,0,0,0,19,7,0,0,0,0,0,0,70551,37,1.0888999753452235
359,0,0,58,133,0,0,0,0,174,7,120,0,0,7,0,15,67502,492,1.4978661367769952
360,0,0,2,0,0,1,0,0,0,6,2,0,0,0,0,1,65103,11,1.0888999753452235
361,0,0,4,56,0,0,0,2,116,13,30,0,0,1,0,8,63427,221,1.7480673485460891
362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62532,0,-0.0
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62453,0,-0.0
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63192,0,-0.0
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64722,0,-0.0
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66987,0,-0.0
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69917,0,-0.0
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73432,0,-0.0
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77453,0,-0.0
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81905,0,-0.0
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86721,0,-0.0
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91845,0,-0.0
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97228,0,-0.0
